Thread lock starvation with RSemaphore on high concurrency with hundreds of locks
We (@cstamas and me) are currently trying to integrate Redisson into [Apache Maven Resolver](https://github.com/apache/maven-resolver/pull/77). The purpose is to synchronize access to the Maven local repository across multiple processes. In our tests we experience a constant thread stravation where a write lock cannot be obtained in time, but tens of other threads are given access with `RSemaphore`. I assumed that we are having the same problem as in https://github.com/redisson/redisson/issues/1763, but the fiddling with config options did not work out. The lock is a hot path in dependency resolution.

Env:
* Redis 6.0.12 and 6.2.1 from FreeBSD ports
* Java "1.8.0_282"
* Redisson 3.15.3
* Maven from master, Maven Resolver from master

Config: default as well as
```
singleServerConfig:
  address: "redis://localhost:6379"
  subscriptionConnectionMinimumIdleSize: 25
  subscriptionConnectionPoolSize: 100
  subscriptionsPerConnection: 10
  connectionPoolSize: 100
```

The amount of locks is around 500 accessed by around 100 Maven modules from 48 threads (`T4C` on a 12-core Xeon processor).

Here is a sample condensed overview of semaphore permit acquisition and release:
```
lock_held	start_timestamp	end_timestamp	thread	start_message	end_message
243	35276	35519	mvn-builder-org.example:module001:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
259	35276	35535	mvn-builder-org.example:module021:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
215	35276	35491	mvn-builder-org.example:module023:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
264	35287	35551	mvn-builder-org.example:module013:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
269	35297	35566	mvn-builder-org.example:module008:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
286	35297	35583	mvn-builder-org.example:module009:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
273	35326	35599	mvn-builder-org.example:module014:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
296	35335	35631	mvn-builder-org.example:module005:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
324	35339	35663	mvn-builder-org.example:module017:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
274	35340	35614	mvn-builder-org.example:module004:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
298	35349	35647	mvn-builder-org.example:module012:jar:1.0.0-snapshot	Acquiring write lock for 'metadata:org.webjars.bower:datatables.net'	Releasing write lock for 'metadata:org.webjars.bower:datatables.net'
