Thread lock starvation with RSemaphore on high concurrency with hundreds of locks (2)
This is a followup to #3573. We have now received the first user feedback from @jebeaudet which exhibits the same behavior as in the previous issue.

We have tried with Maven 3.8.x from the `maven-3.8.x` and Resolver 1.7.1 with Redisson's `RSemaphore`. Several runs observe the same behavior. One thread tries to acquire a lock which is not held by anyone else and after the time is up (30 s) no lock is obtained. @jebeaudet privately provided me log files of those builds and I have distilled the lock workflows from it. Here is a sample:
```
lock_held	start_timestamp	end_timestamp	thread	lock_workflow	lock_type	lock_name
6	3017	3023	main	acquire => release	write	artifact:com.coveo:coveo-cloud-base-service-pom:40.123.0
12	3052	3064	main	acquire => release	write	artifact:com.amazonaws:aws-java-sdk-bom:1.12.9
4	3093	3097	main	acquire => release	write	artifact:com.amazonaws:aws-java-sdk-pom:1.12.9
3	3117	3120	main	acquire => release	write	artifact:com.fasterxml.jackson:jackson-bom:2.12.3
4	3130	3134	main	acquire => release	write	artifact:com.fasterxml.jackson:jackson-parent:2.12
3	3141	3144	main	acquire => release	write	artifact:com.fasterxml:oss-parent:41
6	3163	3169	main	acquire => release	write	artifact:org.eclipse.jetty:jetty-bom:9.4.42.v20210604
5	3180	3185	main	acquire => release	write	artifact:org.springframework.boot:spring-boot-dependencies:2.3.12.RELEASE
2	3209	3211	main	acquire => release	write	artifact:com.datastax.oss:java-driver-bom:4.6.1
6	3239	3245	main	acquire => release	write	artifact:io.dropwizard.metrics:metrics-bom:4.1.22
2	3266	3268	main	acquire => release	write	artifact:io.dropwizard.metrics:metrics-parent:4.1.22
2	3278	3280	main	acquire => release	write	artifact:org.codehaus.groovy:groovy-bom:2.5.14
14	3298	3312	main	acquire => release	write	artifact:com.fasterxml.jackson:jackson-bom:2.11.4
2	3360	3362	main	acquire => release	write	artifact:com.fasterxml.jackson:jackson-parent:2.11
2	3369	3371	main	acquire => release	write	artifact:com.fasterxml:oss-parent:38
4	3388	3392	main	acquire => release	write	artifact:org.glassfish.jersey:jersey-bom:2.30.1
2	3408	3410	main	acquire => release	write	artifact:org.eclipse.ee4j:project:1.0.5
2	3419	3421	main	acquire => release	write	artifact:org.junit:junit-bom:5.6.3
2	3431	3433	main	acquire => release	write	artifact:org.jetbrains.kotlin:kotlin-bom:1.3.72
