There is a huge discrepancy between the ORC and the Parquet reader
I am not sure why this is happening but the ORC reader seems to be reading a lot more than it is supposed to.

I have a large dataset 900GB / 6.124.505.638 rows,  which I am playing with. I have the same table definition for 2 tables, the only difference is that one table is Parquet and the other once is ORC. I have ETLed in the data with Hive/MR to both tables (AWS S3). I started to play around with the Parquet reader when I have noticed this discrepancy between how much of these readers are actually reading from S3.

Example queries:

``` sql
set session hive.parquet_predicate_pushdown_enabled = false;
set session hive.parquet_optimized_reader_enabled=false;

presto:db> select count(1) from test_orc_opt_6
 where partitioning_key = 201410 AND field0='x' AND field1=2014;
  _col0
----------
 55255029
(1 row)

Query 20180914_190419_00098_camvu, FINISHED, 25 nodes
Splits: 142 total, 142 done (100.00%)
0:03 [86M rows, 3.5GB] [34M rows/s, 1.38GB/s]

presto:db> select count(1) from test_parquet_opt_7 
where partitioning_key = 201410 AND field0='x' AND field1=2014;

  _col0
----------
 55255029
(1 row)

Query 20180914_190349_00097_camvu, FINISHED, 25 nodes
Splits: 142 total, 142 done (100.00%)
0:05 [86.4M rows, 3.5GB] [17.9M rows/s, 743MB/s]
```

If I compare this to the following when I enable predicate pushdown for the Parquet reader I very different numbers for the amount of data read.


```sql
presto:db> select count(1) from test_parquet_opt_7
 where partitioning_key = 201410 AND field0='x' AND field1=2014;

  _col0
----------
 55255029
(1 row)

Query 20180914_190733_00106_camvu, FINISHED, 25 nodes
Splits: 142 total, 142 done (100.00%)
0:19 [86.4M rows, 3.25MB] [4.5M rows/s, 173KB/s]
```

Presto version: 0.203 (AWS EMR)

Settings: 

```
                    Name                     |     Value      |    Default     |  Type   |                                             Description
----------------------------------------------+----------------+----------------+---------+--------------------------------------------------------------------------------------------------
 aggregation_operator_unspill_memory_limit    | 4MB            | 4MB            | varchar | Experimental: How much memory can should be allocated per aggragation operator in unspilling proc
 colocated_join                               | false          | false          | boolean | Experimental: Use a colocated join when possible
 concurrent_lifespans_per_task                | -1             | -1             | integer | Experimental: Run a fixed number of groups concurrently for eligible JOINs
 dictionary_aggregation                       | false          | false          | boolean | Enable optimization for aggregations on dictionaries
 distributed_index_join                       | false          | false          | boolean | Distribute index joins on join keys instead of executing inline
 distributed_join                             | true           | true           | boolean | Use a distributed join instead of a broadcast join
 enable_intermediate_aggregations             | false          | false          | boolean | Enable the use of intermediate aggregations
 exchange_compression                         | false          | false          | boolean | Enable compression in exchanges
 execution_policy                             | all-at-once    | all-at-once    | varchar | Policy used for scheduling query tasks
 fast_inequality_joins                        | true           | true           | boolean | Use faster handling of inequality join if it is possible
 filter_and_project_min_output_page_row_count | 256            | 256            | integer | Experimental: Minimum output page row count for filter and project operators
 filter_and_project_min_output_page_size      | 500kB          | 500kB          | varchar | Experimental: Minimum output page size for filter and project operators
 grouped_execution_for_aggregation            | false          | false          | boolean | Use grouped execution for aggregation when possible
 hash_partition_count                         | 100            | 100            | integer | Number of partitions for distributed joins and aggregations
 initial_splits_per_node                      | 16             | 16             | integer | The number of splits each node will run per task, initially
 iterative_optimizer_enabled                  | true           | true           | boolean | Experimental: enable iterative optimizer
 iterative_optimizer_timeout                  | 3.00m          | 3.00m          | varchar | Timeout for plan optimization in iterative optimizer
 legacy_join_using                            | false          | false          | boolean | Use legacy behavior for JOIN ... USING clause
